key,en,vi,pt,es,fr,th,id
crocodile_tut3,"- If Croc's jaw stays still, you're safe and the next player takes their turn.
- If Croc's jaw snaps closed, you're chomped on and out of the game!","- Nếu hàm của Croc nằm yên, bạn đã an toàn và sẽ đến lượt người chơi tiếp theo.
- Nếu hàm của Croc đóng lại, bạn sẽ bị bóp nghẹt và rời khỏi trò chơi!","- Se o maxilar de Croc ficar parado, você está seguro e o próximo jogador assume a sua vez.
- Se a mandíbula de Croc se fechar, você será mastigado e fora do jogo!","- Si la mandíbula de Croc se queda quieta, estás a salvo y el siguiente jugador toma su turno.
- ¡Si la mandíbula de Croc se cierra de golpe, estás mordido y fuera del juego!","- Si la mâchoire de Croc reste immobile, vous êtes en sécurité et le joueur suivant prend son tour.
- Si la mâchoire de Croc se referme, vous êtes mordu et hors du jeu !","- หากกรามของ Croc ยังคงอยู่ คุณจะปลอดภัยและผู้เล่นคนต่อไปจะกลับตาลปัตร
- หากกรามของ Croc ปิดลง แสดงว่าคุณกำลังเข้าและออกจากเกม!","- Jika rahang Croc tidak bergerak, Anda aman dan pemain berikutnya mengambil giliran.
- Jika rahang Croc terkunci, Anda akan dikunyah dan keluar dari permainan!"
hockey_tut1,"- Drag the striker on your field to move it.
- Try to hit the puck with your striker.","- Kéo vợt trên sân để di chuyển nó.
- Cố gắng đánh đĩa bằng vợt.","- Arraste o atacante em seu campo para movê-lo.
- Tente acertar o disco com seu atacante.","- Arrastra el delantero en tu campo para moverlo.
- Intenta golpear el disco con tu delantero.","- Faites glisser l'attaquant sur votre terrain pour le déplacer.
- Essayez de frapper le disque avec votre percuteur.","- ลากกองหน้าไปที่สนามของคุณเพื่อย้าย
- พยายามตีดิสก์ด้วยกองหน้าของคุณ","- Seret striker di bidang Anda untuk memindahkannya.
- Cobalah untuk memukul disk dengan striker Anda."
hockey_tut2,"- Aim for the opponent's goal. Shoot against the edges to trick your opponent.
- Your scores will be recorded to compete with your friends.","- Nhắm vào khung thành đối phương. Đánh vào cạnh bàn để đánh lừa đối thủ.
- Điểm số của bạn sẽ được ghi lại để cạnh tranh với bạn bè.","- Apontar para o gol do adversário. Atire contra as bordas para enganar seu oponente.
- Suas pontuacões serão gravadas para competir com seus amigos.","- Apunta a la portería contraria. Dispara contra los bordes para engañar a tu oponente.
- Tus puntuaciones se registrarán para competir con tus amigos.","- Visez le but de l'adversaire. Tirez contre les bords pour tromper votre adversaire.
- Vos scores seront enregistrés pour rivaliser avec vos amis.","- เล็งไปที่เป้าหมายของฝ่ายตรงข้าม ยิงไปที่ขอบเพื่อหลอกคู่ต่อสู้ของคุณ
- คะแนนของคุณจะถูกบันทึกเพื่อแข่งขันกับเพื่อนของคุณ","- Bidik gawang lawan. Menembak ke tepi untuk mengelabui lawan Anda.
- Skor Anda akan dicatat untuk bersaing dengan teman-teman Anda."
amount,AMOUNT,SỐ LƯỢNG,QUANTIA,MONTO,MONTANT,จำนวน,JUMLAH
your_turn,YOUR TURN,LƯỢT CỦA BẠN,SUA VEZ,TU TURNO,À TON TOUR,ตาคุณ,GILIRANMU
challenge,CHALLENGE,THÁCH ĐẤU,DESAFIO,DESAFÍO,DÉFI,ท้าทาย,TANTANGAN
bid,BID,ĐẶT CƯỢC,PEÇA,LICITACIÓN,OFFRE,ประมูล,PENAWARAN
current_bid,CURRENT BID,GIÁ TRỊ CƯỢC HIỆN TẠI,OFERTA ATUAL,OFERTA ACTUAL,ENCHÈRE ACTUELLE,การเสนอราคาปัจจุบัน,TAWARAN SAAT INI
the_dices_were,THE DICE WERE,CÁC XÚC XẮC LÀ,OS DADOS FORAM,LOS DADOS ERAN,LES DÉS ÉTAIENT,ลูกเต๋าเป็น,DADUNYA ADALAH
liardice_tut1,"- To start, set up the number of dice.
- Players will shake the cups and secretly check their dice.","- Để bắt đầu, hãy thiết lập số lượng xúc xắc.
- Người chơi sẽ lắc cốc và bí mật kiểm tra xúc xắc của mình.","- Para comecar, configure o número de dados.
- Os jogadores vão agitar os copos e checar secretamente seus dados.","- Para empezar, configura el número de dados.
- Los jugadores agitarán las copas y comprobarán en secreto sus dados.","- Pour commencer, configurez le nombre de dés.
- Les joueurs secoueront les tasses et vérifieront secrètement leurs dés.","- ในการเริ่มต้น ตั้งค่าจำนวนลูกเต๋า
- ผู้เล่นจะเขย่าถ้วยและแอบตรวจลูกเต๋าของพวกเขา","- Untuk memulai atur jumlah dadu.
- Pemain akan mengocok cangkir dan diam-diam memeriksa dadu mereka."
liardice_tut2,"- Players can change the value of the dice.
For example, 1 dot, 2 dots ... 6 dots.","- Người chơi có thể thay đổi giá trị của xúc xắc.
Ví dụ: 1 nút, 2 nút ... 6 nút.","- Os jogadores podem alterar o valor dos dados.
Por exemplo, 1 ponto, 2 pontos... 6 pontos.","- Los jugadores pueden cambiar el valor de los dados.
Por ejemplo, 1 punto, 2 puntos... 6 puntos.","- Les joueurs peuvent changer la valeur des dés.
Par exemple, 1 point, 2 points ... 6 points.","- ผู้เล่นสามารถเปลี่ยนค่าของลูกเต๋าได้
เช่น 1 จุด 2 จุด ... 6 จุด","- Pemain dapat mengubah nilai dadu.
Misalnya, 1 titik, 2 titik ... 6 titik."
liardice_tut3,"- Players can increase the number of dice having the same face.
For example, 1 6 dots, 2 6 dots ... 5 6 dots.","- Người chơi có thể tăng số lượng xúc xắc có cùng mặt.
Ví dụ: 1 6 nút, 2 6 nút ... 5 6 nút.","- Os jogadores podem aumentar o número de dados com a mesma face.
Por exemplo, 1 6 pontos, 2 6 pontos... 5 6 pontos.","- Los jugadores pueden aumentar la cantidad de dados que tienen la misma cara.
Por ejemplo, 1 6 puntos, 2 6 puntos... 5 6 puntos.","- Les joueurs peuvent augmenter le nombre de dés ayant la même face.
Par exemple, 1 6 points, 2 6 points ... 5 6 points.","- ผู้เล่นสามารถเพิ่มจำนวนลูกเต๋าที่มีหน้าเหมือนกันได้
ตัวอย่างเช่น 1 6 จุด 2 6 จุด ... 5 6 จุด","- Pemain dapat menambah jumlah dadu yang memiliki wajah yang sama.
Misalnya, 1 6 titik, 2 6 titik... 5 6 titik."
liardice_tut4,"- Or players can change both values.
For example, 1 3 dots, 3 4 dots, 5 5 dots.","- Hoặc người chơi có thể thay đổi cả hai giá trị.
Ví dụ: 1 3 nút, 3 4 nút, 5 5 nút.","- Ou os jogadores podem alterar ambos os valores.
Por exemplo, 1 3 pontos, 3 4 pontos, 5 5 pontos.","- O los jugadores pueden cambiar ambos valores.
Por ejemplo, 1 3 puntos, 3 4 puntos, 5 5 puntos.","- Ou les joueurs peuvent changer les deux valeurs.
Par exemple, 1 3 points, 3 4 points, 5 5 points.","- หรือผู้เล่นสามารถเปลี่ยนทั้งสองค่าได้
เช่น 1 3 จุด 3 4 จุด 5 5 จุด","- Atau pemain dapat mengubah kedua nilai.
Misalnya, 1 3 titik, 3 4 titik, 5 5 titik."
liardice_tut5,"If the current player challenges the previous bid, all the dice will be revealed.","Nếu người chơi hiện tại thách thức cuộc đặt cược trước đó, tất cả xúc xắc sẽ được mở ra.","Se o jogador atual desafiar o lance anterior, todos os dados serão revelados.","Si el jugador actual desafía la oferta anterior, se revelarán todos los dados.","Si le joueur actuel conteste l'enchère précédente, tous les dés seront révélés.",หากผู้เล่นปัจจุบันท้าทายการประมูลครั้งก่อน ลูกเต๋าทั้งหมดจะถูกเปิดเผย,"Jika pemain saat ini menantang tawaran sebelumnya, semua dadu akan terungkap."
liardice_tut6,"If the bid is valid (the bid is equal to or less than the number of dice of the same face value), the bidder wins.","Nếu cuộc đặt cược hợp lệ (giá trị cược bằng hoặc nhỏ hơn số lượng xúc xắc có cùng mệnh giá), người đặt cược thắng.","Se o lance for válido (o lance for igual ou menor que o número de dados de mesmo valor nominal), o licitante vence.","Si la puja es válida (la puja es igual o menor que el número de dados del mismo valor nominal), el pujador gana.","Si l'enchère est valide (l'enchère est égale ou inférieure au nombre de dés de même valeur faciale), l'enchérisseur l'emporte.",หากการเสนอราคาถูกต้อง (ราคาเสนอเท่ากับหรือน้อยกว่าจำนวนลูกเต๋าที่มีมูลค่าเท่ากัน) ผู้เสนอราคาจะเป็นผู้ชนะ,"Jika penawaran valid (tawaran sama dengan atau kurang dari jumlah dadu dengan nilai nominal yang sama), penawar menang."
liardice_tut7,"Otherwise, the challenger wins.","Nếu không, người thách thức sẽ thắng.","Caso contrário, o desafiante vence.","De lo contrario, el retador gana.","Sinon, le challenger gagne.",มิฉะนั้นผู้ท้าชิงจะชนะ,"Jika tidak, penantang menang."
piece,TOKEN,QUÂN CỜ,PECA,PIEZA,PIÈCE,ชิ้นส่วน,BAGIAN
ludo_tut1,"- To start, you need to set up the game.
- If a 6 is rolled, you can move a token out of your base.
- Anytime a 6 is rolled, you get an extra roll. If a 6 is rolled 3 times in a row, you lose your turn.","- Để bắt đầu, bạn cần thiết lập trò chơi.
- Nếu tung ra số 6, bạn có thể di chuyển quân cờ ra khỏi nhà mình.
- Bất cứ lúc nào tung ra số 6, bạn nhận thêm 1 lượt tung. Nếu số 6 được tung 3 lần liên tiếp, bạn sẽ mất lượt.","- Para comecar, você precisa configurar o jogo.
- Se sair um 6, você pode tirar uma peca de sua casa.
- Sempre que um 6 é rolado, você ganha um lancamento extra. Se um 6 for lancado 3 vezes seguidas, você perde sua vez.","- Para comenzar, debes configurar el juego.
- Si sale un 6, puedes mover una pieza fuera de tu casa.
- Cada vez que se lanza un 6, obtienes una tirada extra. Si sale un 6 3 veces seguidas, pierdes tu turno.","- Pour commencer, vous devez configurer le jeu.
- Si un 6 est obtenu, vous pouvez déplacer une pièce hors de votre maison.
- Chaque fois qu'un 6 est obtenu, vous obtenez un résultat supplémentaire. Si un 6 sort 3 fois de suite, vous perdez votre tour.","- ในการเริ่มต้น คุณต้องตั้งค่าเกม
- หากทอยได้เลข 6 คุณสามารถย้ายชิ้นส่วนออกจากบ้านได้
- ทุกครั้งที่ทอย 6 คุณจะได้รับม้วนพิเศษ หากทอยได้ 6 ครั้งติดต่อกัน 3 ครั้ง คุณจะเสียเทิร์น","- Untuk memulai, Anda perlu mengatur permainan.
- Jika 6 digulung, Anda dapat memindahkan sepotong dari rumah Anda.
- Setiap kali 6 digulung, Anda mendapatkan gulungan ekstra. Jika angka 6 dilempar 3 kali berturut-turut, Anda kehilangan giliran."
ludo_tut2,"- If your token lands on an opponent’s token, that token is sent back to its base.
- Then you get an extra roll.","- Nếu quân cờ của bạn đáp vào vị trí quân cờ đối thủ đang đứng, quân cờ đó sẽ bị đá và được gửi trở lại nhà của họ.
- Sau đó, bạn nhận được 1 lượt tung.","- Se sua peça cair em um espaço colorido especial, essa peça estará segura.
- Peças de outros jogadores poderão ficar juntas no espaço colorido.","- Si tu pieza cae sobre la pieza de un oponente, esa pieza se envía de regreso a su hogar.
- Entonces obtienes un rollo extra.","- Si votre pièce atterrit sur une pièce adverse, cette pièce est renvoyée chez elle.
- Ensuite, vous obtenez un rouleau supplémentaire.","- หากชิ้นส่วนของคุณตกลงบนชิ้นส่วนของฝ่ายตรงข้าม ชิ้นส่วนนั้นจะถูกส่งกลับบ้าน
- จากนั้นคุณจะได้รับม้วนพิเศษ","- Jika bidak Anda mendarat di bidak lawan, bidak itu dikirim kembali ke rumahnya.
- Kemudian Anda mendapatkan gulungan ekstra."
ludo_tut3,"- If your token lands in a space occupied by 1 of your other tokens, your tokens will stand together in the same place.","- Nếu quân cờ của bạn đáp vào một vị trí mà các quân cờ khác của bạn đã đứng, chúng sẽ đứng cùng nhau.","- Se sua peca cair em um espaco ocupado por 1 de suas outras pecas, suas pecas ficarão juntas no mesmo lugar.","- Si tu pieza cae en un espacio ocupado por 1 de tus otras piezas, tus piezas permanecerán juntas en el mismo lugar.","- Si votre pièce atterrit dans un espace occupé par 1 de vos autres pièces, vos pièces resteront ensemble au même endroit.",- หากชิ้นส่วนของคุณตกลงในพื้นที่ที่มีชิ้นส่วนอื่นของคุณ 1 ชิ้น ชิ้นส่วนของคุณจะยืนรวมกันอยู่ที่เดิม,"- Jika bidak Anda mendarat di tempat yang ditempati oleh 1 bidak Anda yang lain, bidak Anda akan berdiri bersama di tempat yang sama."
ludo_tut4,"- If your token lands on a special colored space, that token will be safe.
- Tokens from other players will be allowed to stand together in the colored space.","- Nếu quân cờ của bạn đáp vào vị trí đặc biệt, quân cờ đó sẽ an toàn.
- Quân cờ của những người chơi khác cũng sẽ được phép đứng chung tại vị trí đó.","- Se sua peca cair em um espaco colorido especial, essa peca estará segura.
- Pecas de outros jogadores poderão ficar juntas no espaco colorido.","- Si tu pieza cae en un espacio de color especial, esa pieza estará a salvo.
- Las piezas de otros jugadores podrán estar juntas en el espacio coloreado.","- Si votre pièce atterrit sur une case colorée spéciale, cette pièce sera en sécurité.
- Les pièces des autres joueurs seront autorisées à se tenir ensemble dans l'espace coloré.","- หากชิ้นส่วนของคุณตกลงบนพื้นสีพิเศษ ชิ้นส่วนนั้นจะปลอดภัย
- ชิ้นส่วนจากผู้เล่นคนอื่นจะได้รับอนุญาตให้ยืนรวมกันในพื้นที่สี","- Jika bidak Anda mendarat di ruang berwarna khusus, bidak itu akan aman.
- Potongan dari pemain lain akan diizinkan untuk berdiri bersama di ruang berwarna."
ludo_tut5,"- When your token lands on the home triangle, that token has completed its journey, and you get an extra roll.
The first player to have all the tokens finish their journey wins!","- Khi quân cờ của bạn về tới vùng tam giác của nhà bạn, quân cờ đó đã hoàn thành hành trình của nó và bạn nhận thêm 1 lượt tung.
Người chơi đầu tiên có tất cả quân cờ kết thúc hành trình sẽ chiến thắng!","- Quando sua peca pousar no triângulo inicial, essa peca completou sua jornada e você recebe uma jogada extra.
O primeiro jogador a ter todas as pecas terminando sua jornada vence!","- Cuando tu pieza cae en el triángulo de origen, esa pieza ha completado su viaje y obtienes una tirada adicional.
¡El primer jugador es tener todas las piezas terminadas su viaje gana!","- Lorsque votre pièce atterrit sur le triangle d'origine, cette pièce a terminé son voyage et vous obtenez un jet supplémentaire.
Le premier joueur dont toutes les pièces ont terminé leur voyage gagne !","- เมื่อชิ้นส่วนของคุณตกลงบนสามเหลี่ยมบ้าน ชิ้นส่วนนั้นได้เสร็จสิ้นการเดินทาง และคุณจะได้รับม้วนพิเศษ
ผู้เล่นคนแรกที่มีชิ้นส่วนทั้งหมดจบการเดินทางจะเป็นผู้ชนะ!","- Saat bidak Anda mendarat di segitiga rumah, bidak itu telah menyelesaikan perjalanannya, dan Anda mendapatkan gulungan ekstra.
Pemain pertama yang memiliki semua bagian menyelesaikan perjalanan mereka menang!"
